id_parlamentar,id_parlamentar_parlametria,partido_disciplina,partido_atual,casa,mes,ano,votos_validos,num_seguiu,disciplina,bancada_suficiente
345,2345,PODEMOS,PODEMOS,senado,12,2020,2,2,NA,TRUE
345,2345,REDE,PODEMOS,senado,4,2019,2,1,NA,NA
345,2345,REDE,PODEMOS,senado,4,2020,7,2,NA,NA
345,2345,REDE,PODEMOS,senado,5,2020,5,5,NA,NA
345,2345,REDE,PODEMOS,senado,6,2019,4,2,NA,NA
345,2345,REDE,PODEMOS,senado,6,2020,8,5,NA,NA
345,2345,REDE,PODEMOS,senado,7,2020,4,3,NA,NA
345,2345,REDE,PODEMOS,senado,8,2019,1,0,NA,NA
345,2345,REDE,PODEMOS,senado,8,2020,4,3,NA,NA
345,2345,REDE,PODEMOS,senado,9,2019,1,1,NA,NA
345,2345,REDE,PODEMOS,senado,10,2019,8,6,NA,NA
345,2345,REDE,PODEMOS,senado,11,2019,4,4,NA,NA
345,2345,REDE,PODEMOS,senado,12,2019,1,0,NA,NA
374,2374,PT,PT,senado,2,2021,1,1,NA,TRUE
374,2374,PT,PT,senado,3,2021,12,12,1,TRUE
374,2374,PT,PT,senado,4,2019,2,2,NA,TRUE
374,2374,PT,PT,senado,4,2020,7,7,NA,TRUE
374,2374,PT,PT,senado,4,2021,3,3,NA,TRUE
374,2374,PT,PT,senado,5,2020,5,5,NA,TRUE
374,2374,PT,PT,senado,5,2021,5,5,NA,TRUE
374,2374,PT,PT,senado,6,2019,3,3,NA,TRUE
374,2374,PT,PT,senado,6,2020,12,12,1,TRUE
374,2374,PT,PT,senado,6,2021,13,13,1,TRUE
374,2374,PT,PT,senado,7,2020,4,4,NA,TRUE
374,2374,PT,PT,senado,7,2021,2,2,NA,TRUE
374,2374,PT,PT,senado,8,2019,1,1,NA,TRUE
374,2374,PT,PT,senado,8,2020,4,4,NA,TRUE
374,2374,PT,PT,senado,8,2021,3,3,NA,TRUE
374,2374,PT,PT,senado,9,2019,1,1,NA,TRUE
374,2374,PT,PT,senado,9,2020,6,6,NA,TRUE
374,2374,PT,PT,senado,10,2019,8,8,NA,TRUE
374,2374,PT,PT,senado,11,2019,4,4,NA,TRUE
374,2374,PT,PT,senado,11,2020,5,5,NA,TRUE
374,2374,PT,PT,senado,12,2019,1,1,NA,TRUE
374,2374,PT,PT,senado,12,2020,2,2,NA,TRUE
470,2470,DEM,DEM,senado,3,2021,11,11,1,TRUE
470,2470,DEM,DEM,senado,4,2019,1,1,NA,TRUE
470,2470,DEM,DEM,senado,4,2020,7,6,NA,TRUE
470,2470,DEM,DEM,senado,4,2021,2,2,NA,TRUE
470,2470,DEM,DEM,senado,5,2020,5,5,NA,TRUE
470,2470,DEM,DEM,senado,5,2021,4,4,NA,TRUE
470,2470,DEM,DEM,senado,6,2019,3,3,NA,TRUE
470,2470,DEM,DEM,senado,6,2020,12,9,0.75,TRUE
