id_autor_parlametria,mes,ano,direitos-humanos,licenciamento-ambiental,migracao-e-refugio,pandemia,reforma-administrativa,reforma-tributaria,socioambiental,transparencia-e-integridade
1107283,2,2019,0,0,0,0,0,1,0,0
1107283,2,2021,0,0,0,5,0,0,0,0
1107283,3,2020,0,0,0,4,0,0,1,0
1107283,3,2021,0,0,0,5,3,0,0,0
1107283,4,2019,0,0,0,0,0,0,2,1
1107283,4,2020,0,0,1,7,0,0,0,0
1107283,4,2021,0,0,0,3,0,0,0,0
1107283,5,2020,1,0,0,15,0,1,1,7
1107283,5,2021,0,0,0,1,1,0,0,0
1107283,6,2019,0,0,0,1,0,0,0,0
1107283,6,2020,0,0,0,5,0,0,0,1
1107283,6,2021,0,0,0,0,1,0,0,0
1107283,7,2019,0,0,0,0,0,1,0,0
1107283,7,2020,0,0,0,2,0,1,0,0
1107283,7,2021,1,0,1,1,44,0,2,1
1107283,8,2020,0,0,0,1,0,0,1,0
1107283,9,2020,3,0,0,3,0,0,2,1
1107283,10,2019,0,0,0,0,0,0,1,0
1107283,10,2020,0,0,0,3,0,0,0,0
1107283,12,2020,0,0,0,0,0,0,2,0
1108338,2,2021,0,0,0,0,0,0,0,1
1108338,3,2021,0,0,1,1,0,0,0,0
1108338,4,2020,0,0,2,4,0,1,0,0
1108338,4,2021,1,0,1,1,0,0,0,0
1108338,5,2020,0,0,0,0,0,0,0,3
1108338,5,2021,0,0,0,1,0,0,0,0
1108338,6,2020,0,0,0,1,0,0,0,0
1108338,6,2021,0,0,0,2,4,0,0,0
1108338,7,2019,0,0,0,0,0,1,0,1
1108338,7,2020,0,0,0,1,0,0,0,0
1108338,8,2020,0,0,0,0,0,0,1,0
1108338,8,2021,0,0,0,0,0,3,0,1
1108338,9,2020,0,0,0,0,0,0,1,1
1108338,10,2019,0,0,0,0,0,0,1,0
1108338,12,2020,0,0,0,0,0,0,1,0
1109429,2,2019,0,0,0,0,0,0,6,0
1109429,3,2019,1,0,0,0,0,0,0,0
1109429,4,2021,0,0,0,0,0,0,1,0
1109429,6,2020,0,0,0,3,0,0,0,0
1109429,7,2019,0,1,0,0,0,0,1,0
1109429,7,2020,0,0,0,0,0,0,1,0
1109429,7,2021,0,0,0,0,1,0,0,0
1109429,9,2019,0,1,0,0,0,1,1,0
1109429,10,2019,0,0,0,0,0,0,0,1
1112437,2,2021,0,0,0,0,0,0,0,1
1112437,7,2021,1,0,0,0,0,0,0,0
1112437,8,2021,0,0,0,0,0,2,0,0
1115746,7,2019,0,0,0,0,0,1,0,0
1115746,7,2021,0,0,0,0,3,0,0,0
1115746,8,2021,0,0,0,0,0,1,0,0
1116379,2,2019,0,0,0,1,0,0,0,0
1116379,2,2021,0,0,0,0,0,0,0,1
1116379,3,2019,0,0,0,0,0,0,1,0
1116379,3,2020,0,0,0,1,0,0,0,0
1116379,3,2021,0,0,0,2,1,0,0,0
1116379,4,2020,0,0,0,0,0,0,0,1
1116379,4,2021,0,0,0,1,1,0,0,0
1116379,5,2021,0,1,0,1,11,0,2,0
1116379,6,2021,0,0,0,4,12,0,0,0
1116379,7,2019,0,0,0,0,0,2,0,0
1116379,7,2021,0,0,0,1,42,0,1,0
1116379,8,2020,0,0,0,1,0,0,0,0
1116379,8,2021,0,0,0,1,0,5,0,0
1116379,9,2019,0,0,0,0,0,1,0,0
1116379,9,2020,0,0,0,1,0,0,0,0
1121948,2,2021,0,0,0,0,0,0,0,1
1121948,4,2019,0,0,0,0,0,0,1,0
1121948,4,2020,0,0,0,1,0,0,0,0
1121948,4,2021,0,0,0,1,0,0,1,0
1121948,6,2019,0,0,0,1,0,0,0,0
1121948,7,2021,0,0,0,0,43,0,0,0
1122158,2,2019,0,1,0,0,0,0,1,1
1122158,4,2020,0,0,0,0,0,0,0,1
1122158,7,2019,0,0,0,0,0,1,0,0
1122158,8,2019,0,0,0,0,0,1,0,0
1122158,12,2020,0,0,0,0,0,0,0,2
1122195,4,2021,0,0,0,0,0,0,4,0
1122195,6,2021,0,0,0,2,2,0,0,0
1122195,7,2021,1,0,0,0,40,0,0,0
1122195,8,2021,0,0,0,0,1,0,0,0
1122974,2,2019,0,0,0,0,0,0,1,0
1122974,2,2021,0,0,0,1,0,0,0,2
