id_proposicao_leggo,num_tweets,interactions,created_at,username,interesse,sigla_camara,sigla_senado
1861fc92e38e56038410758af021a739,7,3011,2021-05-26,midianinja,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,44,2021-05-26,mst_oficial,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,421,2021-05-26,mussumalive,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,2,85,2021-05-26,niltotatto,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,13,1706,2021-05-26,obsclima,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,2,15,2021-05-26,prof_rosaneide,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,344,2021-05-26,psol50,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,11,105,2021-05-26,rede_18,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,25,2021-05-26,reginaldolopes,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,37,2021-05-26,rodrigoagost,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,3878,2021-05-26,samiabomfim,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,1132,2021-05-26,tabataamaralsp,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,3,555,2021-05-26,taliriapetrone,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,2,7,2021-05-27,alencarbraga13,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,30,2021-05-27,mottatarcisio,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,135,2021-05-28,elpais_brasil,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,20,2021-06-05,j_livres,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,403,2021-06-07,joeniawapichana,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,174,2021-06-08,agenciapublica,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,4,9,2021-06-08,alencarbraga13,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,8,399,2021-06-08,aureacarolinax,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,2,114,2021-06-08,brasildefato,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,15,197,2021-06-08,camilopsb,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,23,2021-06-08,cartamaior,socioambiental,PL 490/2007,NA
1861fc92e38e56038410758af021a739,1,4,2021-06-08,daniel_pcdob,socioambiental,PL 490/2007,NA
