Relacionada com Meio Ambiente ou Clima?,Pos/Neg/Neutro para o ambientalismo,proposicao,sigla_tipo,numero,ano,ementa,id,casa,tema,autor,link
Sim,Negativo: exclui sem determinar compensação pela redução da a´rea.,PDL 28/2019,PDL,28,2019,"Exclui da Terra Indígena São Marcos a área urbana da sede do Município de Pacaraima, no Estado de Roraima.",135175,senado,Nao especificado,Mecias de Jesus REPUBLICANOS / RR,https://www25.senado.leg.br/web/atividade/materias/-/materia/135175
Sim,Positivo - Convertido em Resolução do Senado (05/2019),PRS 37/2019,PRS,37,2019,"Autoriza o Município de Camaçari (BA) a contratar operação de crédito externo, com garantia da República Federativa do Brasil, com a Corporação Andina de Fomento (CAF), no valor de até US$ 80.000.000,00 (oitenta milhões de dólares dos Estados Unidos da América).",136423,senado,Nao especificado,Comissão de Assuntos Econômicos,https://www25.senado.leg.br/web/atividade/materias/-/materia/136423
Sim,Positivo - Convertido em Resolução do Senado (07/2019),PRS 41/2019,PRS,41,2019,"Autoriza o Município de Vitória, situado no Estado do Espírito Santo, a contratar operação de crédito externo, com garantia da República Federativa do Brasil, junto ao Banco Interamericano de Desenvolvimento (BID), no valor de até US$ 100.000.000,00 (cem milhões de dólares dos Estados Unidos da América).",136596,senado,Nao especificado,Comissão de Assuntos Econômicos,https://www25.senado.leg.br/web/atividade/materias/-/materia/136596
Sim,Positivo,PRS 49/2019,PRS,49,2019,"Institui, no âmbito do Senado Federal, o Diploma Paul Singer.",136879,senado,Nao especificado,Jaques Wagner PT / BA,https://www25.senado.leg.br/web/atividade/materias/-/materia/136879
Sim,Positivo - Convertido em Resolução do Senado (14/2020),PRS 52/2019,PRS,52,2019,Dispõe sobre a criação da campanha “Junho Verde” para conscientização sobre a importância da preservação do meio ambiente.,137065,senado,Nao especificado,Fabiano Contarato REDE / ES e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/137065
Sim,Negativo,PDL 67/2020,PDL,67,2020,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, a Portaria nº 50, de 21 de janeiro de 2016, do Ministério da Justiça/Fundação Nacional do Índio, e a Portaria nº 17, de 9 de janeiro de 2019, do Ministério da Mulher, da Família e dos Direitos Humanos/Fundação Nacional do Índio/Diretoria de Proteção Territorial.",140895,senado,Nao especificado,Zequinha Marinho PSC / PA,https://www25.senado.leg.br/web/atividade/materias/-/materia/140895
Sim,Negativo: precariza o licenciamento ambintal criando a figura da licença ambiental tácita.,PLP 71/2019,PLP,71,2019,"Altera o art. 14 da Lei Complementar Nº 140, de 8 de dezembro de 2011, para dispor sobre os prazos estabelecidos para tramitação dos processos de licenciamento ambiental.",135796,senado,Meio ambiente,Marcio Bittar MDB / AC,https://www25.senado.leg.br/web/atividade/materias/-/materia/135796
Sim,Positivo - Convertido em Resolução do Senado (12/2019),PRS 84/2019,PRS,84,2019,"Autoriza o Estado de Mato Grosso a contratar operação de crédito externo, com garantia da República Federativa do Brasil, com o Banco Internacional para Reconstrução e Desenvolvimento (BIRD), no valor de até US$ 250.000.000,00 (duzentos e cinquenta milhões de dólares dos Estados Unidos da América).",138549,senado,Nao especificado,Comissão de Assuntos Econômicos,https://www25.senado.leg.br/web/atividade/materias/-/materia/138549
Sim,Positivo,PRS 85/2019,PRS,85,2019,"Institui o Prêmio Chico Mendes do Senado Federal, a ser conferido anualmente a matérias jornalísticas que tratem da preservação do Meio Ambiente.",138552,senado,Nao especificado,Fabiano Contarato REDE / ES,https://www25.senado.leg.br/web/atividade/materias/-/materia/138552
Sim,Positivo,PDL 85/2020,PDL,85,2020,"Susta a Instrução Normativa nº 7, de 21 de Fevereiro de 2020 do Instituto Brasileiro do Meio Ambiente e do Recursos Naturais Renováveis (IBAMA) que estabelece controle a posteriori para a exportação de madeiras, indicadas no Anexo II.",141084,senado,Nao especificado,Rogério Carvalho PT / SE e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/141084
Sim,positivo,PL 90/2020,PL,90,2020,Proíbe a produção e a comercialização de qualquer produto alimentício obtido por meio de método de alimentação forçada de animais.,140489,senado,Meio ambiente,Eduardo Girão PODEMOS / CE,https://www25.senado.leg.br/web/atividade/materias/-/materia/140489
Sim,Positivo - Convertido em Resolução do Senado (24/2019),PRS 100/2019,PRS,100,2019,"Autoriza a concessão de garantia da República Federativa do Brasil à operação de crédito externo a ser contratada pela Companhia de
Saneamento Básico do Estado de São Paulo (Sabesp) junto ao Banco Internacional para Reconstrução e Desenvolvimento (BIRD) no valor de até US$ 250.000.000,00 (duzentos e cinquenta milhões de dólares dos Estados
Unidos da América).",139111,senado,Nao especificado,Comissão de Assuntos Econômicos,https://www25.senado.leg.br/web/atividade/materias/-/materia/139111
Sim,Positivo,PL 135/2020,PL,135,2020,"Altera a Lei nº 12.651, de 25 de maio de 2012 (Código Florestal), para estabelecer que áreas rurais com floresta nativa submetidas a queimadas ilegais serão destinadas a reflorestamento.",140530,senado,Meio ambiente,Jorge Kajuru CIDADANIA / GO,https://www25.senado.leg.br/web/atividade/materias/-/materia/140530
Sim,Positivo,PL 145/2020,PL,145,2020,"Proíbe, em todo o território nacional, a utilização, a fabricação, a importação, a comercialização e a distribuição de sacolas para o acondicionamento e o transporte de mercadorias que contenham, em sua composição, polímeros plásticos.",140541,senado,Meio ambiente,Ciro Nogueira PP / PI,https://www25.senado.leg.br/web/atividade/materias/-/materia/140541
Sim,positivo,PL 149/2019,PL,149,2019,"Institui a Política Nacional de Incentivo à Agricultura e Pecuária de Precisão para ampliação da eficiência na aplicação de recursos e insumos de produção, de forma a diminuir o desperdício, reduzir os custos de produção, aumentar a produtividade e a lucratividade, bem como garantir a sustentabilidade ambiental, social e econômica.",140314,senado,"Agricultura, pecuária e abastecimento",Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/140314
Sim,Positivo,PEC 184/2019,PEC,184,2019,Altera a Constituição Federal para instituir o Fundo Nacional de Responsabilidade por Poluição Causada por Incidentes com Hidrocarbonetos.,139657,senado,Meio ambiente,Confúcio Moura MDB / RO e outros,https://www25.senado.leg.br/web/atividade/materias/-/materia/139657
