id_leggo,interesse,periodo,temperatura_recente
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-07-05,0
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-06-28,0
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-06-21,0
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-06-14,0
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-06-07,0
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-05-31,0
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-05-24,0
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-05-17,0
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-05-10,0
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-05-03,0
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-04-26,0
e88dc154bce9488c88c18a47513c4549,socioambiental,2021-04-19,0
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-07-12,0.25
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-07-05,0.34
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-06-28,0.45
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-06-21,0.6
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-06-14,0.8
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-06-07,1.06
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-05-31,1.42
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-05-24,1.89
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-05-17,2.52
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-05-10,3.36
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-05-03,0
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-04-26,0
febb2fb4f932b87f0f98abd51e6bfbbc,socioambiental,2021-04-19,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-07-12,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-07-05,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-06-28,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-06-21,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-06-14,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-06-07,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-05-31,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-05-24,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-05-17,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-05-10,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-05-03,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-04-26,0
2f4900063390c580e22253222f86f86e,socioambiental,2021-04-19,0
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-07-12,0.01
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-07-05,0.01
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-06-28,0.02
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-06-21,0.02
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-06-14,0.03
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-06-07,0.04
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-05-31,0.06
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-05-24,0.07
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-05-17,0.1
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-05-10,0.13
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-05-03,0.18
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-04-26,0.23
e67e5421c9d6dee99dd9be728e2a435c,socioambiental,2021-04-19,0.31
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-07-12,0.13
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-07-05,0.17
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-06-28,0.22
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-06-21,0.3
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-06-14,0.4
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-06-07,0.53
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-05-31,0.71
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-05-24,0.95
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-05-17,1.26
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-05-10,1.68
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-05-03,0
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-04-26,0
dc101c34b18155d4a3b811e2aec0e91e,socioambiental,2021-04-19,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-07-12,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-07-05,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-06-28,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-06-21,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-06-14,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-06-07,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-05-31,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-05-24,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-05-17,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-05-10,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-05-03,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-04-26,0
4de57fe01be4f0b7bba53214170a741e,socioambiental,2021-04-19,0
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-07-12,0.01
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-07-05,0.02
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-06-28,0.02
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-06-21,0.03
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-06-14,0.04
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-06-07,0.06
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-05-31,0.07
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-05-24,0.1
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-05-17,0.13
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-05-10,0.18
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-05-03,0.23
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-04-26,0.31
1ab8034309a7a59d5f28e7cfb484fdd5,socioambiental,2021-04-19,0.42
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-07-12,0
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-07-05,0
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-06-28,0
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-06-21,0
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-06-14,0
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-06-07,0
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-05-31,0
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-05-24,0
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-05-17,0
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-05-10,0
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-05-03,0
f6f7690bd63cc0b2cc54f868299b1af2,socioambiental,2021-04-26,0
