id_votacao,orientacao,tipo_lideranca,partido_bloco,casa
2247459-6,-1,P,PSD,camara
2247459-6,-1,P,PSB,camara
2242400-83,-1,P,PDT,camara
2242400-83,-1,P,PSL,camara
2242400-83,1,B,Maioria,camara
2242400-83,-1,NA,SOLIDARIEDADE,camara
2242400-83,1,P,DEM,camara
2242400-83,-1,P,NOVO,camara
2242400-83,1,P,PSDB,camara
2242400-83,1,NA,Governo,camara
2242400-83,1,P,AVANTE,camara
2242400-83,1,P,PL,camara
2242400-83,1,P,PATRIOTA,camara
2242400-83,-1,P,PSOL,camara
2242400-83,1,P,PV,camara
2242400-83,-1,P,REDE,camara
2242400-83,1,P,MDB,camara
2242400-83,1,P,PSD,camara
2242400-83,-1,P,PCdoB,camara
2242400-83,-1,P,PSB,camara
2242400-83,-1,P,CIDADANIA,camara
2242400-83,-1,P,PT,camara
2242400-83,1,NA,REPUBLICANOS,camara
2242400-83,5,P,PTB,camara
2242400-83,1,P,PODE,camara
2242400-83,1,P,PP,camara
2242400-83,-1,B,Minoria,camara
2241662-137,-1,P,PSB,camara
2241662-137,1,P,DEM,camara
2241662-137,1,P,PSL,camara
2241662-137,-1,P,PDT,camara
2241662-137,1,P,PROS,camara
2241662-137,-1,P,PCdoB,camara
2241662-137,-1,P,PT,camara
2241662-137,1,P,PP,camara
2241662-137,1,NA,SOLIDARIEDADE,camara
2241662-137,1,P,PTB,camara
2241662-137,1,P,PL,camara
2241662-137,1,NA,REPUBLICANOS,camara
2241662-137,1,P,NOVO,camara
2241662-137,-1,P,REDE,camara
2241662-137,1,P,PSDB,camara
2241662-137,1,P,PODE,camara
2241662-137,1,P,AVANTE,camara
2241662-137,-1,P,PSOL,camara
2241662-137,1,P,CIDADANIA,camara
2241662-137,1,NA,Governo,camara
2241662-137,1,P,MDB,camara
2241662-137,-1,B,Minoria,camara
2241662-131,-1,B,Minoria,camara
2241662-131,1,NA,Governo,camara
2241662-131,1,P,PODE,camara
2241662-131,1,NA,SOLIDARIEDADE,camara
2241662-131,1,P,PTB,camara
2241662-131,1,P,PROS,camara
2241662-131,-1,P,PSOL,camara
2241662-131,1,P,PSL,camara
2241662-131,1,P,DEM,camara
2241662-131,-1,P,PDT,camara
2241662-131,-1,P,PV,camara
2241662-131,-1,B,Oposição,camara
2241662-131,1,P,CIDADANIA,camara
2241662-131,-1,P,PCdoB,camara
2241662-131,-1,P,REDE,camara
2241662-131,1,P,PL,camara
2241662-131,1,P,PSD,camara
2241662-131,1,P,PP,camara
2241662-131,1,P,MDB,camara
2241662-131,-1,P,PT,camara
2241662-131,1,P,PSDB,camara
2241662-131,1,NA,REPUBLICANOS,camara
2241662-131,1,P,NOVO,camara
2241662-131,-1,P,PSB,camara
2241662-131,1,P,AVANTE,camara
2241662-123,-1,B,Minoria,camara
2241662-123,1,P,PP,camara
2241662-123,1,P,PSL,camara
2241662-123,-1,P,PSB,camara
2241662-123,-1,P,CIDADANIA,camara
2241662-123,1,P,PTB,camara
2241662-123,1,P,PL,camara
2241662-123,1,P,PSDB,camara
2241662-123,-1,P,PCdoB,camara
2241662-123,1,NA,SOLIDARIEDADE,camara
2241662-123,-1,P,REDE,camara
2241662-123,1,P,NOVO,camara
2241662-123,1,P,PV,camara
2241662-123,-1,P,PT,camara
2241662-123,1,NA,Governo,camara
2241662-123,-1,P,PSOL,camara
2241662-123,1,P,MDB,camara
2241662-123,1,NA,REPUBLICANOS,camara
2241662-123,1,P,PODE,camara
2241662-123,1,P,AVANTE,camara
2241662-123,1,P,PROS,camara
2241662-123,-1,P,PDT,camara
2241662-118,-1,P,REDE,camara
2241662-118,1,P,AVANTE,camara
2241662-118,-1,P,PCdoB,camara
2241662-118,1,P,PTB,camara
2241662-118,-1,B,Oposição,camara
2241662-118,-1,P,PSOL,camara
2241662-118,1,NA,SOLIDARIEDADE,camara
2241662-118,1,P,PSDB,camara
2241662-118,1,P,PSL,camara
2241662-118,-1,P,PT,camara
2241662-118,1,P,PP,camara
2241662-118,1,P,PL,camara
2241662-118,-1,P,PSB,camara
2241662-118,1,NA,REPUBLICANOS,camara
2241662-118,1,NA,Governo,camara
2241662-118,1,P,MDB,camara
2241662-118,-1,B,Minoria,camara
2241662-118,-1,P,PDT,camara
2241662-118,1,P,CIDADANIA,camara
2241662-118,1,P,PODE,camara
2241662-118,1,P,NOVO,camara
2241662-118,1,P,DEM,camara
2241662-118,1,P,PROS,camara
2241662-117,-1,P,PSB,camara
2241662-117,1,NA,Governo,camara
2241662-117,1,P,PSD,camara
2241662-117,1,P,PP,camara
2241662-117,-1,P,PSOL,camara
2241662-117,1,P,PV,camara
2241662-117,-1,B,Minoria,camara
2241662-117,5,P,DEM,camara
2241662-117,-1,P,PCdoB,camara
2241662-117,1,P,PL,camara
2241662-117,1,P,CIDADANIA,camara
2241662-117,-1,P,PDT,camara
2241662-117,1,P,PSL,camara
2241662-117,1,NA,REPUBLICANOS,camara
2241662-117,1,P,PODE,camara
2241662-117,1,NA,SOLIDARIEDADE,camara
2241662-117,1,P,PTB,camara
2241662-117,1,P,AVANTE,camara
2241662-117,1,P,PSDB,camara
2241662-117,-1,P,PT,camara
2241662-117,1,P,MDB,camara
2241662-117,-1,B,Oposição,camara
2241662-117,-1,P,REDE,camara
2241662-117,1,B,Maioria,camara
2241662-117,1,P,NOVO,camara
2241662-109,1,P,PV,camara
2241662-109,-1,P,PSD,camara
2241662-109,-1,NA,SOLIDARIEDADE,camara
2241662-109,1,P,PDT,camara
2241662-109,1,P,REDE,camara
2241662-109,-1,P,MDB,camara
2241662-109,1,P,PCdoB,camara
2241662-109,1,P,PSB,camara
2241662-109,1,P,PROS,camara
2241662-109,-1,P,CIDADANIA,camara
2241662-109,-1,P,PL,camara
2241662-109,1,B,Minoria,camara
2241662-109,-1,P,DEM,camara
2241662-109,-1,P,AVANTE,camara
2241662-109,-1,P,PSL,camara
2241662-109,-1,P,NOVO,camara
2241662-109,1,P,PSOL,camara
2241662-109,-1,P,PP,camara
2241662-109,1,P,PT,camara
2241662-109,-1,P,PODE,camara
2241662-103,1,P,PSL,camara
2241662-103,1,NA,SOLIDARIEDADE,camara
2241662-103,1,P,NOVO,camara
2241662-103,-1,P,REDE,camara
2241662-103,-1,P,PV,camara
2241662-103,-1,P,PCdoB,camara
2241662-103,1,P,PSD,camara
2241662-103,1,P,PSDB,camara
2241662-103,1,P,PL,camara
2241662-103,1,NA,Governo,camara
2241662-103,1,P,CIDADANIA,camara
2241662-103,1,P,PROS,camara
2241662-103,1,P,MDB,camara
2241662-103,1,B,Maioria,camara
2241662-103,-1,P,DEM,camara
2241662-103,1,P,PODE,camara
2241662-103,-1,B,Oposição,camara
2241662-103,1,P,PP,camara
2241662-103,1,P,AVANTE,camara
2241662-103,-1,B,Minoria,camara
2241662-103,-1,P,PSOL,camara
2241662-103,-1,P,PT,camara
2241662-103,1,NA,REPUBLICANOS,camara
2241662-103,-1,P,PSB,camara
2241662-103,1,P,PTB,camara
2241662-103,-1,P,PDT,camara
2241662-98,-1,P,DEM,camara
2241662-98,-1,P,PSD,camara
2241662-98,-1,P,PL,camara
2241662-98,-1,P,PSDB,camara
2241662-98,1,B,Oposição,camara
2241662-98,1,P,PCdoB,camara
2241662-98,-1,NA,REPUBLICANOS,camara
2241662-98,1,P,CIDADANIA,camara
2241662-98,-1,P,NOVO,camara
2241662-98,1,B,Minoria,camara
2241662-98,-1,P,PP,camara
2241662-98,-1,P,PODE,camara
2241662-98,1,P,REDE,camara
2241662-98,1,P,PT,camara
2241662-98,-1,P,MDB,camara
2241662-98,1,P,PSB,camara
2241662-98,-1,NA,Governo,camara
2241662-98,1,P,PSOL,camara
2241662-98,-1,P,PSL,camara
2241662-98,-1,P,PTB,camara
2241662-98,1,P,PV,camara
2241662-98,1,P,PDT,camara
2241662-96,1,P,PSD,camara
2241662-96,1,P,DEM,camara
2241662-96,1,P,PODE,camara
2241662-96,1,P,PSDB,camara
2241662-96,-1,B,Minoria,camara
2241662-96,1,NA,Governo,camara
2241662-96,-1,P,REDE,camara
2241662-96,-1,B,Oposição,camara
2241662-96,1,NA,REPUBLICANOS,camara
2241662-96,1,P,PL,camara
2241662-96,1,P,MDB,camara
2241662-96,-1,P,CIDADANIA,camara
2241662-96,1,P,PSL,camara
2241662-96,-1,NA,SOLIDARIEDADE,camara
2241662-96,1,P,NOVO,camara
2241662-96,-1,P,PT,camara
2241662-96,1,P,PTB,camara
2241662-96,-1,P,PSOL,camara
2241662-96,-1,P,PSB,camara
2241662-96,-1,P,PCdoB,camara
2241662-96,-1,P,PV,camara
2241662-96,1,P,PROS,camara
2241662-96,1,P,PP,camara
2241662-96,1,P,AVANTE,camara
2241662-96,-1,P,PDT,camara
2241662-93,1,P,REDE,camara
2241662-93,1,B,Minoria,camara
2241662-93,-1,P,PL,camara
2241662-93,1,P,PCdoB,camara
2241662-93,-1,P,PROS,camara
2241662-93,1,P,PDT,camara
2241662-93,1,NA,SOLIDARIEDADE,camara
2241662-93,-1,P,PSD,camara
2241662-93,-1,P,AVANTE,camara
2241662-93,-1,P,PODE,camara
2241662-93,-1,NA,Governo,camara
2241662-93,-1,B,Maioria,camara
2241662-93,-1,P,PSDB,camara
2241662-93,1,P,PSB,camara
2241662-93,-1,P,NOVO,camara
2241662-93,-1,P,PSL,camara
2241662-93,1,P,PSOL,camara
2241662-93,-1,P,DEM,camara
2241662-93,1,P,PT,camara
2241662-93,-1,P,PP,camara
2241662-93,-1,NA,REPUBLICANOS,camara
2241662-93,-1,P,PTB,camara
2241662-93,1,P,PV,camara
2241662-93,1,P,CIDADANIA,camara
2241662-93,1,B,Oposição,camara
2241662-93,-1,P,PSC,camara
2241662-93,-1,P,MDB,camara
2241662-90,-1,NA,REPUBLICANOS,camara
2241662-90,-1,P,DEM,camara
2241662-90,-1,P,PSC,camara
2241662-90,1,P,PSOL,camara
2241662-90,-1,P,PODE,camara
2241662-90,-1,P,MDB,camara
2241662-90,1,P,PT,camara
2241662-90,-1,NA,Governo,camara
2241662-90,-1,P,PSDB,camara
2241662-90,1,P,PCdoB,camara
2241662-90,-1,P,PP,camara
2241662-90,-1,P,CIDADANIA,camara
2241662-90,1,B,Oposição,camara
2241662-90,1,P,PDT,camara
2241662-90,-1,NA,SOLIDARIEDADE,camara
2241662-90,1,P,PSB,camara
2241662-90,-1,P,PL,camara
2241662-90,1,P,REDE,camara
2241662-90,-1,P,PSD,camara
2241662-90,-1,P,PROS,camara
2241662-90,-1,P,PV,camara
2241662-90,-1,P,PSL,camara
2241662-90,-1,P,AVANTE,camara
2241662-90,1,B,Minoria,camara
2241662-90,-1,P,PTB,camara
2241662-90,-1,P,NOVO,camara
2241662-85,1,P,PSDB,camara
2241662-85,1,P,MDB,camara
2241662-85,1,P,DEM,camara
2241662-85,1,P,PL,camara
2241662-85,1,P,PTB,camara
2241662-85,-1,P,PT,camara
2241662-85,1,P,PODE,camara
2241662-85,1,P,PSD,camara
2241662-85,1,P,PP,camara
2241662-85,1,NA,SOLIDARIEDADE,camara
2241662-85,-1,B,Oposição,camara
2241662-85,1,P,AVANTE,camara
2241662-85,-1,P,PSOL,camara
2241662-85,-1,P,REDE,camara
2241662-85,1,P,NOVO,camara
2241662-85,1,P,PSC,camara
2241662-85,1,P,PROS,camara
2241662-85,-1,P,PDT,camara
2241662-85,-1,P,PCdoB,camara
2241662-85,1,P,PV,camara
2241662-85,1,P,PSL,camara
2241662-85,-1,P,PSB,camara
2241662-85,1,NA,Governo,camara
2241662-85,1,NA,REPUBLICANOS,camara
2241662-85,-1,B,Minoria,camara
2241662-81,-1,P,PODE,camara
2241662-81,-1,NA,REPUBLICANOS,camara
2241662-81,-1,NA,Governo,camara
2241662-81,-1,P,PSD,camara
2241662-81,-1,P,MDB,camara
2241662-81,1,P,PDT,camara
2241662-81,-1,P,NOVO,camara
2241662-81,-1,P,PSL,camara
2241662-81,1,B,Minoria,camara
2241662-81,1,P,PSB,camara
2241662-81,-1,P,PSC,camara
2241662-81,1,P,PT,camara
2241662-81,-1,P,PP,camara
2241662-81,1,B,Oposição,camara
2241662-81,-1,P,CIDADANIA,camara
2241662-81,-1,P,DEM,camara
2241662-81,1,P,PSOL,camara
2241662-81,-1,P,PTB,camara
2241662-81,-1,P,AVANTE,camara
2241662-81,-1,P,PL,camara
2241662-81,-1,P,PSDB,camara
2241662-81,1,P,REDE,camara
2241662-81,-1,NA,SOLIDARIEDADE,camara
2241662-81,1,P,PCdoB,camara
2241662-81,-1,P,PV,camara
2241662-79,-1,P,PSB,camara
2241662-79,-1,P,PCdoB,camara
2241662-79,1,P,MDB,camara
2241662-79,-1,B,Oposição,camara
2241662-79,1,NA,SOLIDARIEDADE,camara
2241662-79,1,P,NOVO,camara
2241662-79,1,P,PSDB,camara
2241662-79,1,P,PSC,camara
2241662-79,1,P,PODE,camara
2241662-79,-1,P,PSOL,camara
2241662-79,1,P,PV,camara
2241662-79,1,P,PTB,camara
2241662-79,1,NA,Governo,camara
2241662-79,1,P,DEM,camara
2241662-79,1,P,PP,camara
2241662-79,1,P,AVANTE,camara
2241662-79,-1,P,PDT,camara
2241662-79,1,P,PSD,camara
2241662-79,-1,P,REDE,camara
2241662-79,1,P,PSL,camara
2241662-79,1,P,PL,camara
2241662-79,1,P,PROS,camara
2241662-79,1,P,CIDADANIA,camara
2241662-79,-1,B,Minoria,camara
2241662-79,1,NA,REPUBLICANOS,camara
2241662-79,-1,P,PT,camara
2241662-77,1,P,PSC,camara
2241662-77,1,P,PDT,camara
2241662-77,1,P,PROS,camara
2241662-77,1,P,PP,camara
2241662-77,1,P,PSDB,camara
2241662-77,5,B,Minoria,camara
2241662-77,1,NA,Governo,camara
2241662-77,-1,P,PT,camara
2241662-77,1,P,AVANTE,camara
2241662-77,1,P,DEM,camara
2241662-77,1,P,PSL,camara
2241662-77,1,P,PTB,camara
2241662-77,1,P,MDB,camara
2241662-77,1,P,PCdoB,camara
2241662-77,1,P,PSD,camara
2241662-77,1,P,REDE,camara
2241662-77,1,P,NOVO,camara
2241662-77,1,P,PL,camara
2241662-77,1,P,PSB,camara
2241662-77,1,NA,REPUBLICANOS,camara
2241662-77,1,NA,SOLIDARIEDADE,camara
2241662-77,1,P,CIDADANIA,camara
2241662-77,1,P,PODE,camara
2241662-77,2,P,PSOL,camara
2241662-76,1,P,PSDB,camara
2241662-76,-1,P,PSB,camara
2241662-76,-1,P,PSOL,camara
2241662-76,-1,B,Minoria,camara
2241662-76,1,P,PSL,camara
2241662-76,-1,P,REDE,camara
2241662-76,1,P,PL,camara
2241662-76,1,P,PSD,camara
2241662-76,1,P,PODE,camara
2241662-76,1,P,DEM,camara
2241662-76,1,NA,Governo,camara
2241662-76,1,P,MDB,camara
2241662-76,-1,P,PDT,camara
2241662-76,1,NA,REPUBLICANOS,camara
2241662-76,-1,B,Oposição,camara
2241662-76,-1,P,PCdoB,camara
2241662-76,1,P,PTB,camara
2241662-76,1,P,PP,camara
2241662-76,1,P,AVANTE,camara
2241662-76,1,P,PV,camara
2241662-76,-1,P,PT,camara
2241662-76,1,P,NOVO,camara
2241662-76,1,NA,SOLIDARIEDADE,camara
2241662-76,1,P,CIDADANIA,camara
2241662-76,-1,P,PROS,camara
2241662-72,-1,P,DEM,camara
2241662-72,-1,P,PSL,camara
2241662-72,1,P,REDE,camara
2241662-72,1,P,PCdoB,camara
2241662-72,1,B,Minoria,camara
2241662-72,-1,P,CIDADANIA,camara
2241662-72,-1,P,NOVO,camara
2241662-72,-1,P,PROS,camara
2241662-72,-1,P,PSD,camara
2241662-72,-1,P,MDB,camara
2241662-72,-1,P,AVANTE,camara
2241662-72,-1,NA,Governo,camara
2241662-72,1,P,PDT,camara
2241662-72,-1,P,PSDB,camara
2241662-72,-1,P,PP,camara
2241662-72,-1,P,PTB,camara
2241662-72,1,P,PSOL,camara
2241662-72,1,P,PSB,camara
2241662-72,1,P,PT,camara
2241662-72,-1,P,PL,camara
2241662-72,-1,NA,REPUBLICANOS,camara
2241662-66,1,P,PSOL,camara
2241662-66,-1,P,AVANTE,camara
2241662-66,-1,P,CIDADANIA,camara
2241662-66,1,P,REDE,camara
2241662-66,-1,P,NOVO,camara
2241662-66,-1,NA,SOLIDARIEDADE,camara
2241662-66,-1,P,PODE,camara
2241662-66,1,P,PDT,camara
2241662-66,-1,NA,Governo,camara
2241662-66,-1,P,MDB,camara
2241662-66,-1,P,PSDB,camara
2241662-66,-1,P,PP,camara
2241662-66,-1,P,PTB,camara
2241662-66,-1,P,PSL,camara
2241662-66,1,P,PT,camara
2241662-66,-1,P,DEM,camara
2241662-66,-1,NA,REPUBLICANOS,camara
2241662-66,1,P,PCdoB,camara
2241662-66,-1,P,PV,camara
2241662-66,-1,P,PSD,camara
2241662-66,-1,P,PL,camara
2241662-46,1,P,PT,camara
2241662-46,-1,P,PROS,camara
2241662-46,-1,P,PODE,camara
2241662-46,1,P,PSB,camara
2241662-46,1,P,PCdoB,camara
2241662-46,1,P,REDE,camara
2241662-46,-1,P,AVANTE,camara
2241662-46,-1,P,CIDADANIA,camara
2241662-46,-1,P,PV,camara
2241662-46,-1,P,DEM,camara
2241662-46,-1,NA,SOLIDARIEDADE,camara
2241662-46,-1,P,PL,camara
2241662-46,-1,NA,Governo,camara
2241662-46,-1,NA,REPUBLICANOS,camara
2241662-46,-1,P,NOVO,camara
2241662-46,-1,P,PSL,camara
2241662-46,1,P,PDT,camara
2241662-46,1,P,PSOL,camara
2241662-46,-1,P,PSDB,camara
2241662-46,-1,P,PTB,camara
2241662-46,1,B,Minoria,camara
2241662-46,-1,P,PP,camara
2241662-37,-1,P,PODE,camara
2241662-37,-1,P,PV,camara
2241662-37,-1,P,PP,camara
2241662-37,1,P,PSB,camara
2241662-37,1,P,PDT,camara
2241662-37,-1,P,AVANTE,camara
2241662-37,-1,NA,SOLIDARIEDADE,camara
2241662-37,-1,P,PSL,camara
2241662-37,-1,P,PTB,camara
2241662-37,-1,P,PSD,camara
2241662-37,-1,P,PROS,camara
2241662-37,-1,P,PSDB,camara
2241662-37,1,P,REDE,camara
2241662-37,-1,NA,Governo,camara
2241662-37,1,P,PSOL,camara
2241662-37,-1,P,NOVO,camara
2241662-37,1,P,PCdoB,camara
2241662-37,-1,NA,REPUBLICANOS,camara
2241662-37,-1,B,Maioria,camara
2241662-37,-1,P,MDB,camara
2241662-37,-1,P,PSC,camara
2241662-37,-1,P,CIDADANIA,camara
2241662-37,-1,P,DEM,camara
2241662-37,1,P,PT,camara
2242000-151,1,P,REDE,camara
2242000-151,-1,P,PL,camara
2242000-151,1,P,PSDB,camara
2242000-151,-1,NA,REPUBLICANOS,camara
2242000-151,-1,P,NOVO,camara
2242000-151,5,P,PODE,camara
2242000-151,1,P,PSB,camara
2242000-151,-1,P,PTB,camara
2242000-151,1,P,CIDADANIA,camara
2242000-151,-1,P,PSL,camara
2242000-151,-1,P,PSD,camara
2242000-151,-1,P,AVANTE,camara
2242000-151,1,P,PSOL,camara
2242000-151,-1,P,DEM,camara
2242000-151,-1,NA,Governo,camara
2242000-151,-1,P,PROS,camara
2242000-151,1,B,Minoria,camara
2242000-151,1,P,PDT,camara
2242000-151,-1,NA,SOLIDARIEDADE,camara
2242000-151,1,P,PT,camara
2242000-151,-1,B,Maioria,camara
2242000-151,-1,P,PP,camara
2242000-151,1,P,PCdoB,camara
2242000-151,-1,P,PATRIOTA,camara
2242000-90,1,P,PL,camara
2242000-90,-1,P,PDT,camara
2242000-90,1,P,PROS,camara
2242000-90,1,NA,REPUBLICANOS,camara
2242000-90,1,NA,Governo,camara
2242000-90,1,P,PT,camara
2242000-90,1,NA,SOLIDARIEDADE,camara
2242000-90,-1,P,PSDB,camara
2242000-90,-1,P,PSOL,camara
2242000-90,1,P,PSD,camara
2242000-90,-1,P,DEM,camara
2242000-90,-1,P,NOVO,camara
2242000-90,-1,P,CIDADANIA,camara
2242000-90,1,P,PCdoB,camara
2242000-90,1,P,PATRIOTA,camara
2242000-90,1,P,REDE,camara
2242000-90,1,P,PSL,camara
2242000-90,1,P,PTB,camara
2242000-90,1,P,PSB,camara
2242000-90,1,P,PP,camara
2242000-90,1,P,MDB,camara
2242000-90,-1,P,PODE,camara
2242000-90,5,B,Minoria,camara
2242000-83,1,P,PSOL,camara
2242000-83,-1,NA,Governo,camara
2242000-83,-1,P,AVANTE,camara
2242000-83,1,P,PSL,camara
2242000-83,-1,P,NOVO,camara
2242000-83,-1,P,PL,camara
2242000-83,-1,P,PATRIOTA,camara
2242000-83,-1,P,MDB,camara
2242000-83,1,P,PCdoB,camara
2242000-83,-1,P,PROS,camara
2242000-83,-1,P,DEM,camara
2242000-83,-1,P,PP,camara
2242000-83,-1,P,PSD,camara
2242000-83,1,P,PT,camara
2242000-83,1,B,Minoria,camara
2242000-83,5,NA,REPUBLICANOS,camara
2242000-83,-1,P,PV,camara
2242000-83,-1,P,PSDB,camara
2242000-83,1,P,REDE,camara
2242000-83,1,P,PDT,camara
2242000-83,-1,P,PTB,camara
2242000-83,1,P,PSB,camara
2242000-83,1,NA,SOLIDARIEDADE,camara
2242000-83,5,P,CIDADANIA,camara
2206203-231,1,P,PP,camara
2206203-231,-1,B,Minoria,camara
2206203-231,1,P,PSDB,camara
2206203-231,1,P,PSD,camara
2206203-231,1,NA,SOLIDARIEDADE,camara
2206203-231,1,NA,REPUBLICANOS,camara
2206203-231,1,P,PSL,camara
2206203-231,1,P,MDB,camara
2206203-231,1,P,DEM,camara
2206203-231,-1,P,REDE,camara
2206203-231,1,NA,Governo,camara
2206203-231,-1,P,PSOL,camara
2206203-231,-1,P,PCdoB,camara
2206203-231,1,P,NOVO,camara
2206203-231,-1,P,PT,camara
2206203-231,1,P,PV,camara
2206203-231,1,P,PODE,camara
2206203-231,1,P,PTB,camara
2206203-231,-1,P,PDT,camara
2206203-231,1,P,AVANTE,camara
2206203-231,1,P,PROS,camara
2206203-231,-1,P,CIDADANIA,camara
2206203-231,1,P,PL,camara
2206203-231,-1,B,Oposição,camara
2206203-231,-1,P,PSB,camara
2206203-223,1,P,REDE,camara
2206203-223,1,P,PSDB,camara
2206203-223,1,P,PT,camara
2206203-223,-1,P,PP,camara
2206203-223,-1,P,PODE,camara
2206203-223,1,P,CIDADANIA,camara
2206203-223,1,P,PSOL,camara
2206203-223,-1,P,PL,camara
2206203-223,-1,P,MDB,camara
2206203-223,1,P,PSB,camara
2206203-223,-1,P,PSD,camara
2206203-223,5,B,Oposição,camara
2206203-223,-1,P,PDT,camara
2206203-223,-1,P,AVANTE,camara
2206203-223,-1,NA,Governo,camara
2206203-223,-1,P,PSL,camara
2206203-223,-1,P,PROS,camara
2206203-223,-1,P,DEM,camara
2206203-223,1,P,PV,camara
2206203-223,-1,NA,SOLIDARIEDADE,camara
2206203-223,-1,NA,REPUBLICANOS,camara
2206203-223,1,B,Minoria,camara
2206203-223,1,P,PCdoB,camara
2206203-223,-1,P,PTB,camara
2206203-223,-1,P,NOVO,camara
2206203-220,1,P,CIDADANIA,camara
2206203-220,1,P,PSOL,camara
2206203-220,-1,P,PTB,camara
2206203-220,1,B,Oposição,camara
2206203-220,-1,P,AVANTE,camara
2206203-220,-1,P,PODE,camara
2206203-220,-1,P,PROS,camara
2206203-220,-1,NA,Governo,camara
2206203-220,-1,B,Maioria,camara
2206203-220,1,P,REDE,camara
2206203-220,1,P,PT,camara
2206203-220,-1,NA,SOLIDARIEDADE,camara
2206203-220,1,P,PDT,camara
2206203-220,1,P,PCdoB,camara
2206203-220,1,P,PSB,camara
2206203-220,-1,P,DEM,camara
2206203-220,1,P,PV,camara
2206203-220,-1,P,PSDB,camara
2206203-220,-1,P,PSL,camara
2206203-220,1,P,NOVO,camara
2206203-220,-1,P,PSD,camara
2206203-220,-1,P,PL,camara
2206203-220,-1,P,MDB,camara
2206203-220,1,NA,REPUBLICANOS,camara
2206203-200,-1,P,PSD,camara
2206203-200,-1,NA,Governo,camara
2206203-200,1,P,PV,camara
2206203-200,1,P,CIDADANIA,camara
2206203-200,1,P,REDE,camara
2206203-200,-1,P,PODE,camara
2206203-200,1,P,PSDB,camara
2206203-200,-1,NA,SOLIDARIEDADE,camara
2206203-200,1,P,PSOL,camara
2206203-200,-1,P,PSL,camara
2206203-200,1,P,DEM,camara
2206203-200,-1,P,PP,camara
2206203-200,1,P,PSB,camara
2206203-200,1,P,PCdoB,camara
2206203-200,1,P,PROS,camara
2206203-200,1,P,PT,camara
2206203-200,-1,NA,REPUBLICANOS,camara
2206203-200,1,P,PDT,camara
2206203-200,-1,P,AVANTE,camara
2206203-200,-1,P,PL,camara
2206203-200,5,B,Maioria,camara
2206203-200,-1,P,MDB,camara
2206203-200,1,P,NOVO,camara
2206203-197,-1,P,PODE,camara
2206203-197,-1,P,PP,camara
2206203-197,-1,P,PROS,camara
2206203-197,1,P,PCdoB,camara
2206203-197,-1,P,PL,camara
2206203-197,-1,P,MDB,camara
2206203-197,-1,P,PTB,camara
2206203-197,-1,NA,Governo,camara
2206203-197,1,P,CIDADANIA,camara
2206203-197,1,P,PDT,camara
2206203-197,1,P,PSB,camara
2206203-197,-1,NA,SOLIDARIEDADE,camara
2206203-197,-1,P,AVANTE,camara
2206203-197,1,B,Minoria,camara
2206203-197,-1,P,DEM,camara
2206203-197,-1,P,PSL,camara
2206203-197,1,P,PSDB,camara
2206203-197,1,P,REDE,camara
2206203-197,-1,B,Maioria,camara
2206203-197,1,P,PT,camara
2206203-197,-1,P,PSD,camara
2206203-197,1,P,PSOL,camara
2206203-197,-1,P,NOVO,camara
2206203-197,-1,NA,REPUBLICANOS,camara
2206203-188,1,P,PSD,camara
2206203-188,1,NA,SOLIDARIEDADE,camara
2206203-188,1,P,NOVO,camara
2206203-188,1,P,PODE,camara
2206203-188,-1,P,REDE,camara
2206203-188,-1,B,Minoria,camara
2206203-188,1,P,CIDADANIA,camara
2206203-188,1,P,PP,camara
2206203-188,1,B,Maioria,camara
2206203-188,1,NA,REPUBLICANOS,camara
2206203-188,1,P,PSL,camara
2206203-188,-1,P,PSOL,camara
2206203-188,-1,P,PSB,camara
2206203-188,-1,P,PCdoB,camara
2206203-188,1,P,MDB,camara
2206203-188,-1,P,PT,camara
2206203-188,1,P,PL,camara
2206203-188,1,P,DEM,camara
2206203-188,1,P,PSDB,camara
2206203-188,1,P,PROS,camara
2206203-188,-1,P,PDT,camara
2206203-188,1,P,PTB,camara
2206203-188,1,NA,Governo,camara
2206203-177,1,B,Minoria,camara
2206203-177,-1,P,PODE,camara
2206203-177,-1,P,PL,camara
2206203-177,-1,P,MDB,camara
2206203-177,-1,NA,SOLIDARIEDADE,camara
2206203-177,-1,P,PSL,camara
2206203-177,1,P,PDT,camara
2206203-177,1,P,REDE,camara
2206203-177,-1,B,Maioria,camara
2206203-177,-1,NA,REPUBLICANOS,camara
2206203-177,-1,P,PSD,camara
2206203-177,1,P,PSB,camara
2206203-177,1,P,CIDADANIA,camara
2206203-177,-1,P,PP,camara
2206203-177,-1,P,PSDB,camara
2206203-177,-1,P,DEM,camara
2206203-177,-1,P,PROS,camara
2206203-177,-1,NA,Governo,camara
2206203-177,1,P,PT,camara
2206203-177,1,P,PCdoB,camara
2206203-177,1,P,PSOL,camara
2206203-177,-1,P,AVANTE,camara
2206203-177,-1,P,NOVO,camara
2206203-177,-1,P,PTB,camara
2206203-171,1,P,PCdoB,camara
2206203-171,-1,P,PSDB,camara
2206203-171,-1,P,PL,camara
2206203-171,1,P,MDB,camara
2206203-171,1,P,PSB,camara
2206203-171,-1,P,PSL,camara
2206203-171,5,B,Minoria,camara
2206203-171,-1,P,DEM,camara
2206203-171,1,P,PDT,camara
2206203-171,-1,P,NOVO,camara
2206203-171,-1,P,AVANTE,camara
