id_votacao,orientacao,tipo_lideranca,partido_bloco,casa
2160860-173,-1,P,NOVO,camara
2160860-173,2,B,PslPpPsd...,camara
2160860-173,1,P,PSB,camara
2160860-173,2,P,PT,camara
2160860-173,5,B,PdtSdPode...,camara
2160860-173,2,P,PSOL,camara
2160860-173,-1,P,PPS,camara
2160860-173,-1,P,Patriota,camara
2160860-168,-1,B,Minoria,camara
2160860-168,1,B,PslPpPsd...,camara
2160860-168,1,B,GOV.,camara
2160860-168,2,P,PSOL,camara
2160860-168,-1,P,PSB,camara
2160860-168,1,P,PPS,camara
2160860-168,-1,B,PdtSdPode...,camara
2160860-168,1,P,NOVO,camara
2160860-168,1,P,Patriota,camara
2160860-168,-1,P,PT,camara
2160860-165,1,P,PSB,camara
2160860-165,-1,B,GOV.,camara
2160860-165,-1,B,PslPpPsd...,camara
2160860-165,1,P,PT,camara
2160860-165,1,P,PSOL,camara
2160860-165,-1,P,NOVO,camara
2160860-165,1,B,PdtSdPode...,camara
2160860-165,-1,P,PPS,camara
2160860-131,-1,P,PPS,camara
2160860-131,2,P,PSOL,camara
2160860-131,-1,P,PR,camara
2160860-131,2,P,PSB,camara
2160860-131,-1,P,PSC,camara
2160860-131,2,P,REDE,camara
2160860-131,2,P,PCdoB,camara
2160860-131,-1,P,PSDB,camara
2160860-131,-1,P,MDB,camara
2160860-131,-1,P,Patriota,camara
2160860-131,-1,P,PSD,camara
2160860-131,-1,P,DEM,camara
2160860-131,-1,P,Solidaried,camara
2160860-131,2,P,PT,camara
2160860-131,2,P,PDT,camara
2160860-131,2,B,Minoria,camara
2160860-131,2,B,Oposição,camara
2160860-131,-1,B,PtbPros,camara
2160860-131,-1,B,PpPodeAvante,camara
2160860-118,-1,P,PPS,camara
2160860-118,-1,P,PSDB,camara
2160860-118,-1,P,PR,camara
2160860-118,-1,P,PRB,camara
2160860-118,5,B,Oposição,camara
2160860-118,2,P,PSB,camara
2160860-118,5,B,Minoria,camara
2160860-118,2,P,Patriota,camara
2160860-118,-1,P,PSC,camara
2160860-118,2,P,PSOL,camara
2160860-118,2,P,PDT,camara
2160860-118,2,P,PT,camara
2160860-118,-1,P,Solidaried,camara
2160860-118,2,B,PtbPros,camara
2160860-118,-1,P,PSL,camara
2160860-118,-1,P,DEM,camara
2160860-118,-1,P,MDB,camara
2160860-118,2,P,REDE,camara
2160860-118,2,B,PpPodeAvante,camara
2160860-118,-1,P,PSD,camara
2160860-118,-1,P,PCdoB,camara
2160860-93,1,P,PR,camara
2160860-93,1,P,PSD,camara
