mes,ano,id_parlamentar_parlametria,direitos-humanos,licenciamento-ambiental,migracao-e-refugio,pandemia,reforma-administrativa,reforma-tributaria,socioambiental,transparencia-e-integridade
1,2020,1107283,0,0,0,0,0,0,0,0
1,2020,1109429,0,0,0,0,0,0,0,0
1,2020,1116379,0,0,0,0,0,0,0,0
1,2020,1122974,0,0,0,0,0,0,0,0
1,2020,1132504,0,0,0,0,0,0,0,0
1,2020,1133439,0,0,0,0,0,0,0,0
1,2020,1133968,0,0,0,0,0,0,0,0
1,2020,1136811,0,0,0,0,0,0,0,0
1,2020,1137070,0,0,0,0,0,0,0,0
1,2020,1139285,0,0,0,0,0,0,0,0
1,2020,1141335,0,0,0,0,0,0,0,0
1,2020,1141391,0,0,0,0,0,0,0,0
1,2020,1141398,0,0,0,0,0,0,0,0
1,2020,1141405,0,0,0,0,0,0,0,0
1,2020,1141411,0,0,0,0,0,0,0,0
1,2020,1141439,0,0,0,0,0,0,0,0
1,2020,1141450,0,0,0,0,0,1,0,1
1,2020,1141464,0,0,0,0,0,0,0,0
1,2020,1141470,0,0,0,0,0,0,0,0
1,2020,1141488,0,0,0,0,0,0,0,0
1,2020,1141516,0,0,0,0,0,0,0,0
1,2020,1141518,0,0,0,0,0,0,0,0
1,2020,1141553,0,0,0,0,0,0,0,0
1,2020,1141555,0,0,0,0,0,0,0,0
1,2020,1143084,0,0,0,0,0,0,0,0
1,2020,1150418,0,0,0,0,0,0,0,0
1,2020,1151208,0,0,0,0,0,0,0,0
1,2020,1152605,0,0,0,0,0,0,0,0
1,2020,1156190,0,0,0,0,0,0,0,0
1,2020,1157130,0,0,0,0,0,0,0,0
1,2020,1160508,0,0,0,0,0,0,0,0
1,2020,1160511,0,0,0,0,0,0,0,0
1,2020,1160512,0,0,0,0,0,0,0,0
1,2020,1160518,0,0,0,0,0,0,0,0
1,2020,1160527,0,0,0,0,0,0,0,0
1,2020,1160528,0,0,0,0,0,0,0,0
1,2020,1160531,0,0,0,0,0,0,0,0
1,2020,1160534,0,0,0,0,0,0,0,0
1,2020,1160535,0,0,0,0,0,0,0,0
1,2020,1160538,0,0,0,0,0,0,0,0
1,2020,1160541,0,0,0,0,0,0,0,0
1,2020,1160545,0,0,0,0,0,0,0,0
1,2020,1160556,0,0,0,0,0,0,0,0
1,2020,1160559,0,0,0,0,0,0,0,0
1,2020,1160569,0,0,0,0,0,0,0,0
1,2020,1160570,0,0,0,0,0,0,0,0
1,2020,1160575,0,0,0,0,1,0,0,0
1,2020,1160587,0,1,0,1,0,0,0,0
1,2020,1160589,0,0,0,0,0,0,0,0
1,2020,1160592,0,0,0,0,0,0,0,0
1,2020,1160601,0,0,0,0,0,0,0,0
1,2020,1160604,0,0,0,0,0,0,0,0
1,2020,1160610,0,0,0,0,0,0,0,0
1,2020,1160632,0,0,0,0,0,0,0,0
1,2020,1160641,0,0,0,0,0,0,0,0
1,2020,1160651,1,0,0,0,0,1,0,1
1,2020,1160653,0,0,0,0,0,0,0,0
1,2020,1160655,0,0,0,0,0,0,0,0
1,2020,1160665,0,0,0,0,0,0,0,0
1,2020,1160673,0,0,0,0,0,0,0,0
1,2020,1171617,0,0,0,0,0,0,0,0
1,2020,1171623,0,0,0,0,0,0,0,0
1,2020,1177282,0,0,0,0,0,0,0,0
1,2020,1178829,0,0,0,0,0,0,0,0
1,2020,1178854,0,0,0,0,0,0,0,0
